# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 30
# run: f08f5e97-ed87-4bdc-ab65-b4962559f672
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	75000	732996	5863968	0	0	-633.8651144798445	-633.8651144798445	1.5912601434281417	1.5912601434281417	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1469.4720845514446,-1470.7509049712814,-1470.7509049712814,-1470.7509049712814,-1470.7509049712814,-1470.7509049712814,-1170.7509752763417,-1170.7509752763417,-1169.4721548565049,-1174.7851532532204,-1179.404535505339,-1180.5080372749514,-1199.291504920419,-1205.5902674538197,-1205.5902674538197,-818.3202797041934,-818.3202797041934,-633.8651144798445,-633.8651144798445,-633.8651144798445,-633.8651144798445,-633.8651144798445,-633.8651144798445	0.9960270797844731	-633.8651144798445	18	true	1405
26	15	15	100	74800	729828	5838624	0	0	-326.37862328585345	-326.37862328585345	-43.48459391035763	-43.48459391035763	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1172.436740232303,-1172.436740232303,-1172.436740232303,-1172.436740232303,-1172.4370049600552,-1172.4370049600552,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4371932257045,-872.4374478111183,-872.4374478111183,-872.4374478111183,-872.4374478111183,-872.4374478111183,-872.4376454742032,-872.4376454742032,-872.4376454742032,-872.4376454742032,-872.4376454742032,-872.4376454742032,-973.3074378394658,-1075.16808895493,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-1178.177959215473,-792.888414902162,-810.9942772909948,-810.9942772909948,-510.99469909934123,-510.99469909934123,-418.5341980394105,-326.37862328585345,-326.37862328585345,-326.37862328585345,-326.37862328585345,-326.37862328585345,-326.37862328585345,-326.37862328585345,-326.37862328585345	0.9960270797844731	-326.37862328585345	18	true	707
27	15	15	100	77400	726660	5813280	0	0	-324.1353323220859	-324.1353323220859	-41.28695978708551	-41.28695978708551	-Infinity,-Infinity,-Infinity,-Infinity,-1170.4460601196379,-1170.4460601196379,-1170.4460601196379,-870.4461605964694,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.4463713064486,-870.44657552017,-870.44657552017,-870.44657552017,-870.44657552017,-870.44657552017,-870.44657552017,-870.44657552017,-870.44657552017,-870.44657552017,-871.1620692343422,-872.8764363916983,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7536445799097,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-875.7606595563891,-490.4618843284361,-490.4618843284361,-494.8469639753705,-508.7513130321189,-508.7513130321189,-508.7513130321189,-324.1353323220859,-324.1353323220859,-324.1353323220859,-324.1353323220859,-324.1353323220859,-324.1353323220859,-324.1353323220859,-324.1353323220859,-324.1353323220859	0.9960270797844731	-324.1353323220859	18	true	1034
28	16	16	100	84000	730620	5844960	0	0	-585.4668031224634	-475.88745912720333	62.90050311006081	58.70167928785344	-Infinity,-Infinity,-775.886800996485,-775.8872713874797,-775.8872713874797,-475.88745912720333,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-475.8874861684171,-576.4189202272444,-1077.3443181565199,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1180.1109333796444,-1175.5909586126768,-1173.678148334316,-1173.678148334316,-1173.678148334316,-1173.678148334316,-1173.678148334316,-1173.678148334316,-573.6787364556071,-573.6787364556071,-573.6787364556071,-573.6787364556071,-573.6787364556071,-573.6787364556071,-573.6787364556071,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634,-585.4668031224634	0.9956692815522626	-475.88745912720333	12	true	678
29	16	16	100	86600	711216	5689728	0	0	11.70497079220506	29.51582291767054	61.467619149360054	63.22511985525628	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,27.364518671689943,29.51582291767054,23.875048319221392,23.875048319221392,23.875048319221392,23.875048319221392,23.875048319221392,23.875048319221392,23.875048319221392,23.875048319221392,23.875048319221392,23.875048319221392,-71.83110773860666,-271.8310963690843,-270.1485857205775,-279.6346839926713,-279.6346839926713,-279.6346839926713,-279.6346839926713,-283.04688947167074,-278.0101009705388,-278.0101009705388,-278.0101009705388,-278.0101009705388,-278.0101009705388,-278.0101009705388,-278.0101009705388,-278.0101009705388,-278.0101009705388,-278.0101009705388,-278.0101009705388,-274.0137521196086,-272.6171469923563,-272.6171469923563,-272.6171469923563,-272.6171469923563,-272.6171469923563,-272.6171469923563,-272.6171469923563,-272.6171469923563,-272.6171469923563,27.38229463677257,27.38229463677257,23.40597914479968,17.80592255552787,17.80592255552787,11.70497079220506,11.70497079220506,11.70497079220506,11.70497079220506,11.70497079220506	0.9954268136656409	29.51582291767054	13	true	546
30	18	18	100	75000	723888	5791104	0	0	43.51568820491774	43.9729088679008	70.59756042791537	65.36495888790381	43.9729088679008,43.9729088679008,43.9729088679008,43.97259132250116,43.97259132250116,43.97259132250116,43.97249954700152,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90284445433895,39.90290907744951,39.90290907744951,39.90290907744951,39.90290907744951,39.90290907744951,39.90290907744951,39.90290907744951,39.90290907744951,42.12224529841153,-268.26038530734365,-268.26038530734365,-268.26038530734365,-268.26038530734365,-268.26038530734365,-268.26038530734365,-268.26038530734365,-269.8893121819766,-269.8893121819766,-269.8893121819766,-269.8893121819766,-269.8893121819766,-271.0545509842337,-271.0545509842337,-271.0545509842337,-271.0545509842337,-271.0545509842337,-272.44643171358496,-274.8260707765737,-274.8260707765737,-274.8260707765737,-274.8260707765737,-274.8260707765737,-278.3589862024322,-277.025286548589,-277.025286548589,22.974447009223773,22.974447009223773,22.974447009223773,22.974447009223773,22.974447009223773,26.50736243508227,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,29.990022418035146,32.51305380685286,32.51305380685286,37.82026844345275,43.51568820491774,43.51568820491774,43.51568820491774	0.9952147228050682	43.9729088679008	10	true	763
31	18	18	100	75400	623700	4989600	0	0	22.10924429455224	34.451661260404784	65.53392825423677	65.8457321212118	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,25.03547039006861,25.03547039006861,25.03547039006861,25.03547039006861,16.764517007141492,11.305383753153793,11.305383753153793,11.305070739662073,11.305070739662073,11.305070739662073,11.305070739662073,11.305070739662073,11.305070739662073,11.305070739662073,11.305070739662073,11.305070739662073,11.305070739662073,11.305070739662073,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,11.304967081190926,-9.164205708022747,-17.370408236089343,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-41.24494119446044,-22.350602745715335,-22.350602745715335,-13.321271463779482,-4.553147895696597,6.935094508700335,6.935094508700335,6.935094508700335,6.9737497804945185,2.975469934055253,6.456948223889549,26.237203778543325,27.57450116466901,13.330446341325683,13.330446341325683,10.396073993635142,6.515704773043055,1.52885752592924,1.52885752592924,1.52885752592924,14.943229504421069,22.50760760765172,34.451661260404784,22.10924429455224,22.10924429455224,22.10924429455224,22.10924429455224,22.10924429455224,22.10924429455224,22.10924429455224,22.10924429455224,22.10924429455224	0.9949686359947655	34.451661260404784	10	true	565
32	18	18	100	57114	568260	4546080	0	0	37.93023330885886	40.524971000276864	63.20169839383407	63.63412425721941	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,30.036676560574456,30.036676560574456,30.036676560574456,30.036497332143178,30.036497332143178,30.036497332143178,30.036497332143178,30.036497332143178,30.036497332143178,30.036497332143178,30.036497332143178,30.036497332143178,30.036497332143178,29.9738870460898,29.9738870460898,29.9738870460898,29.9738870460898,29.9738870460898,29.9738870460898,29.9738870460898,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,26.76655332290464,31.846506196242757,31.846506196242757,31.846506196242757,34.435032797466,34.435032797466,34.435032797466,35.15910360617114,35.15910360617114,36.16808813138843,34.795675945755306,34.795675945755306,34.795675945755306,34.220087022576244,34.220087022576244,34.220087022576244,34.220087022576244,34.220087022576244,34.220087022576244,34.220087022576244,34.220087022576244,34.220087022576244,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,30.648271327039076,34.220087022576244,34.220087022576244,38.046930892019674,38.046930892019674,39.90933788282776,40.524971000276864,39.96948619945421,38.167564969207675,38.167564969207675,38.167564969207675,38.167564969207675,38.167564969207675,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886,37.93023330885886	0.9945946805477371	40.524971000276864	12	true	427
33	19	19	100	57199	569844	4558752	0	0	48.80274934678329	51.575320749899376	67.02455507984769	67.23260216797308	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,43.82808683402031,43.82808683402031,43.82808683402031,43.82808683402031,43.82808683402031,43.82808683402031,43.82808683402031,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.2423649467075,43.82808683402031,43.82808683402031,43.82808683402031,44.46958060753717,44.46958060753717,44.46958060753717,44.46958060753717,44.46958060753717,44.46958060753717,44.46958060753717,44.46958060753717,44.46958060753717,44.46958060753717,48.20095606104549,47.303373245949004,50.27371245540901,50.27371245540901,49.96184027036324,49.96184027036324,49.96184027036324,51.575320749899376,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,49.950782734192,49.950782734192,49.950782734192,49.950782734192,49.950782734192,49.950782734192,49.950782734192,49.950782734192,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329,48.80274934678329	0.9941695118474059	51.575320749899376	10	true	432
34	23	23	100	59961	603108	4824864	0	0	50.221250940719656	59.74497848255925	71.56258443637685	71.91801333266827	-Infinity,-Infinity,48.059470987921074,48.059470987921074,48.059470987921074,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,48.059393466323755,49.94960846594965,49.94960846594965,49.94960846594965,49.94960846594965,49.94960846594965,49.94960846594965,49.94960846594965,49.94960846594965,53.20512906275525,53.20512906275525,53.20512906275525,53.18032698418949,53.18032698418949,53.18032698418949,53.18032698418949,53.18032698418949,53.18032698418949,53.18032698418949,53.18032698418949,53.18032698418949,56.16734388510796,56.16734388510796,56.16734388510796,56.16734388510796,56.16734388510796,56.16734388510796,57.982472474809214,57.982472474809214,57.982472474809214,57.982472474809214,57.982472474809214,57.982472474809214,57.982472474809214,57.982472474809214,57.982472474809214,57.982472474809214,57.982472474809214,59.74497848255925,59.74497848255925,59.74497848255925,59.74497848255925,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,48.89014422796443,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656,50.221250940719656	0.9931903919404012	59.74497848255925	8	true	553
