# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 26
# run: f6d8c933-d383-44f0-99da-30ef657ac02c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	47	25447	129532	1036256	0	0	-189.36544977955472	-189.36544977955472	-189.36544977955472	-189.36544977955472	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-189.36544977955472,-189.36544977955472	0.9960270797844731	-189.36544977955472	3	true	1890
26	16	16	6	3045	16536	132288	0	0	-176.19485708488662	-176.19485708488662	-176.19485708488662	-176.19485708488662	-Infinity,-Infinity,-177.49464779473217,-177.49464779473217,-176.19485708488662,-176.19485708488662	0.9958381646573722	-176.19485708488662	2	true	391
27	16	16	3	1470	8268	66144	0	0	-176.9054167237056	-176.9054167237056	-176.9054167237056	-176.9054167237056	-177.71937880256905,-176.9054167237056,-176.9054167237056	0.9955956967707507	-176.9054167237056	2	true	195
28	17	17	11	5526	30316	242528	0	0	-174.0221698798173	-174.0221698798173	-174.0221698798173	-174.0221698798173	-Infinity,-Infinity,-Infinity,-174.07688508274353,-174.07688508274353,-174.07688508274353,-174.07688508274353,-174.07688508274353,-174.07688508274353,-174.0221698798173,-174.0221698798173	0.9952876130456717	-174.0221698798173	2	true	436
29	18	18	6	3042	16536	132288	0	0	-118.8566817119365	-118.8566817119365	-118.8566817119365	-118.8566817119365	-170.38755221234194,-169.60931536837057,-169.60931536837057,-119.6093161224462,-118.8566817119365,-118.8566817119365	0.9952702129681755	-118.8566817119365	1	true	275
30	18	18	18	8616	49608	396864	0	0	-21.40745631016338	-21.40745631016338	-21.40745631016338	-21.40745631016338	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.55632103443011,-21.55632103443011,-21.55632103443011,-21.55632103443011,-21.55632103443011,-21.40745631016338,-21.40745631016338	0.9949686359947655	-21.40745631016338	1	true	729
31	18	18	13	6035	35828	286624	0	0	-25.460598824886194	-25.460598824886194	-25.460598824886194	-25.460598824886194	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-25.460598824886194,-25.460598824886194	0.9947478816502295	-25.460598824886194	1	true	409
32	21	21	38	17416	104728	837824	0	0	29.314854842122234	29.314854842122234	29.314854842122234	29.314854842122234	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.31460451645457,29.314854842122234,29.314854842122234	0.9941547071596204	29.314854842122234	0	true	890
33	22	22	11	4631	30316	242528	0	0	78.67012226616507	78.67012226616507	78.67012226616507	78.67012226616507	75.16532267373665,74.1680348631035,74.1680348631035,74.1680348631035,74.1680348631035,74.1680348631035,75.09898389422312,75.09898389422312,76.88812735005482,78.67012226616507,78.67012226616507	0.9933979500076767	78.67012226616507	0	true	328
34	23	23	11	4505	30316	242528	0	0	83.2245169501562	83.2245169501562	83.2245169501562	83.2245169501562	-Infinity,-Infinity,-Infinity,79.5527350915772,79.5527350915772,82.05684270458458,82.05684270458458,82.11787963380262,82.11787963380262,83.2245169501562,83.2245169501562	0.9931804490389748	83.2245169501562	0	true	274
35	25	25	30	12466	82680	661440	0	0	85.71728489013422	85.71728489013422	85.71728489013422	85.71728489013422	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,84.79930765321309,84.79930765321309,84.79930765321309,84.79930765321309,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,84.7995404186354,85.71728489013422,85.71728489013422	0.9926498197849117	85.71728489013422	0	true	529
36	27	27	9	3601	24804	198432	0	0	89.27936045166975	89.27936045166975	89.27936045166975	89.27936045166975	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,89.27936045166975,89.27936045166975	0.9919222699059077	89.27936045166975	0	true	239
37	29	29	15	4297	41340	330720	0	0	95.10974664874266	95.10974664874266	95.10974664874266	95.10974664874266	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,91.8530611281575,91.8530611281575,91.8530611281575,92.6408747788009,92.6408747788009,92.6408747788009,94.55297713945514,94.55297713945514,95.10974664874266,95.10974664874266	0.9910162230134301	95.10974664874266	0	true	126
38	30	30	6	1783	16536	132288	0	0	98.56531971772309	98.56531971772309	98.56531971772309	98.56531971772309	98.2559442951804,98.2559442951804,98.29050616316707,98.29050616316707,98.56531971772309,98.56531971772309	0.9910013086612904	98.56531971772309	0	true	93
