# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 22
# run: f6f34541-9c84-47fb-a156-a5f6e5c6c1c6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	77600	331848	2654784	0	0	-381.8825889206809	-381.8825889206809	-79.05148148681111	-79.05148148681111	-1169.1480096637474,-1169.1480096637474,-1169.1480096637474,-969.1484373149117,-969.1484805063312,-969.1484805063312,-970.4583990716324,-974.5265237662684,-974.5266574664253,-974.5266574664253,-974.5266574664253,-974.5266574664253,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-674.6755333580535,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-974.6756541654471,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-674.6757245809387,-777.6266578134015,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.090247136384,-883.0903521970984,-883.0903521970984,-883.0903521970984,-883.0903521970984,-883.0903521970984,-877.9980069369678,-877.9980069369678,-868.1025391483632,-868.1025391483632,-868.1025391483632,-868.9758157003366,-868.9758157003366,-868.9758157003366,-868.9758157003366,-868.9758157003366,-773.2256621824602,-676.9490263234978,-476.8166665041364,-381.8825889206809,-381.8825889206809,-381.8825889206809,-381.8825889206809,-381.8825889206809,-381.8825889206809	0.9960270797844731	-381.8825889206809	5	true	882
26	16	16	100	77400	341352	2730816	0	0	-377.7619402138054	-377.7619402138054	-76.06733749800753	-76.06733749800753	-1167.2116475681305,-1167.2116475681305,-1167.2116475681305,-667.2119848338215,-667.2120181378194,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2120596181738,-667.2217143399918,-667.2217143399918,-667.2217143399918,-667.2217143399918,-667.2217143399918,-666.0006216159087,-472.77624793887486,-472.77624793887486,-472.77624793887486,-472.77624793887486,-472.77624793887486,-472.77624793887486,-377.7619402138054,-377.7619402138054,-377.7619402138054,-377.7619402138054,-377.7619402138054,-377.7619402138054,-377.7619402138054,-377.7619402138054,-377.7619402138054,-377.7619402138054	0.9958381646573722	-377.7619402138054	5	true	329
27	16	16	100	80400	341352	2730816	0	0	-376.7026563678163	-376.7026563678163	-25.008390230859987	-25.008390230859987	-666.0983881917384,-666.0983881917384,-666.0983881917384,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-666.0986520627184,-471.71719095088065,-471.71719095088065,-471.71719095088065,-471.71719095088065,-471.71719095088065,-471.71719095088065,-376.7026563678163,-376.7026563678163,-376.7026563678163,-376.7026563678163,-376.7026563678163,-376.7026563678163,-376.7026563678163,-376.7026563678163,-376.7026563678163,-376.7026563678163,-376.7026563678163	0.9954268136656409	-376.7026563678163	5	true	303
28	17	17	100	79600	350856	2806848	0	0	-Infinity	-116.69642721903912	-Infinity	-58.394276299542184	-667.0772285390107,-667.0772285390107,-667.0772285390107,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-667.0773896158305,-617.077494238952,-617.077494238952,-617.077494238952,-617.077494238952,-617.077494238952,-617.077494238952,-617.077494238952,-617.077494238952,-617.077494238952,-617.077494238952,-517.0778859859686,-517.0778859859686,-517.0778859859686,-517.0778859859686,-517.0778859859686,-517.0778859859686,-517.0778859859686,-517.0778859859686,-517.0778859859686,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-517.0781900009468,-515.1892349141526,-515.1892349141526,-515.1892349141526,-515.1892349141526,-515.1892349141526,-515.1988171530726,-515.1988171530726,-515.1988171530726,-515.1988171530726,-515.1988171530726,-515.1988171530726,-316.695856764205,-316.695856764205,-316.695856764205,-116.69642721903912,-116.69642721903912,-212.07728623146474,-214.10232973380133,-214.10232973380133,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-116.69642721903912	3	true	305
29	18	18	100	83600	362736	2901888	0	0	-Infinity	-215.6299190476554	-Infinity	-57.12335098533838	-667.1811460349699,-667.1811460349699,-667.1811460349699,-667.1812820540802,-667.1812820540802,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-667.1815989775959,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-717.1819378093554,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-617.1822952088936,-714.1324037559334,-714.1324037559334,-714.1324037559334,-614.1322062541848,-614.1322062541848,-314.1321554412404,-314.1321554412404,-314.1321554412404,-315.62957773180517,-315.62957773180517,-315.62957773180517,-315.62957773180517,-315.62957773180517,-315.62957773180517,-315.62957773180517,-315.62957773180517,-215.6299190476554,-215.6299190476554,-215.6299190476554,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-215.6299190476554	3	true	301
30	18	18	100	83600	362340	2898720	0	0	-375.6615350775055	-374.1649049005017	-9.515249888665407	-9.514228047766855	-672.3891702908044,-672.3891702908044,-672.3891702908044,-672.3891702908044,-672.3891702908044,-672.3892384969015,-672.3892384969015,-672.3892384969015,-672.3892384969015,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-377.0936464124076,-374.1649049005017,-374.1649049005017,-374.1649049005017,-374.1649049005017,-374.1649049005017,-374.1649049005017,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055,-375.6615350775055	0.9949686359947655	-374.1649049005017	5	true	346
31	18	18	100	72800	344124	2752992	0	0	-372.47028848624734	-372.09217928335624	-10.522259281087043	-10.522259281087043	-679.3878555826656,-679.3878555826656,-679.3878555826656,-679.3879601490427,-679.3879601490427,-379.3880712727628,-379.3880712727628,-379.3880712727628,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880992745046,-379.3880712727628,-379.3880712727628,-379.3880712727628,-379.3880712727628,-379.3880712727628,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.4565911959258,-485.45668529218364,-485.45668529218364,-485.45668529218364,-485.45668529218364,-485.45668529218364,-485.45668529218364,-485.45668529218364,-485.45668529218364,-379.3881653690206,-379.3881653690206,-485.1724340626583,-587.3725911520257,-587.3725911520257,-587.3725911520257,-587.3725911520257,-587.3725911520257,-587.3725911520257,-587.3725911520257,-485.1724340626583,-379.3881653690206,-379.3881653690206,-375.3701751459544,-375.3701751459544,-375.3701751459544,-375.3701751459544,-372.09217928335624,-372.09217928335624,-372.09217928335624,-372.09217928335624,-372.09217928335624,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734,-372.47028848624734	0.9947478816502295	-372.09217928335624	5	true	273
32	21	21	100	77400	371052	2968416	0	0	23.550939397008015	34.714417794651894	41.162996573205646	41.29670637287216	-173.52222984279902,-173.52222984279902,-173.52222984279902,-73.52311192466992,-73.52311192466992,26.476833624645877,26.476833624645877,26.476833624645877,26.476833624645877,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,23.173854280980215,24.942339669000063,24.942339669000063,24.942339669000063,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-271.2024649608486,-277.27032882012423,-277.27032882012423,-277.27032882012423,-277.27032882012423,-277.27032882012423,-277.27032882012423,-277.27032882012423,-277.27032882012423,-277.27032882012423,-277.27032882012423,-271.2027735769622,-271.2027735769622,-271.2027735769622,-271.2027735769622,-271.2027735769622,-271.2027735769622,-271.2027735769622,-271.2027735769622,-271.4813739007209,-271.48147023726597,-271.48147023726597,-271.48147023726597,-271.48147023726597,-271.48147023726597,-271.4814043106301,-271.4814043106301,-271.4814043106301,-271.4814043106301,-271.4814043106301,-271.4814043106301,-266.83872104081024,-266.83872104081024,-266.83872104081024,-167.26008950662694,-167.26008950662694,30.01138345544196,34.714417794651894,34.714417794651894,34.714417794651894,34.28771825200706,34.28771825200706,26.476494598623027,22.009236521255705,15.977264250783078,15.977264250783078,24.089147276007722,24.42731124621796,24.42731124621796,24.42731124621796,24.42731124621796,23.550939397008015,23.550939397008015	0.9937941673185605	34.714417794651894	2	true	398
33	23	23	100	80800	393228	3145824	0	0	-578.7291848271727	-81.96362203878138	30.637075771671892	27.270497309992464	-Infinity,-Infinity,-Infinity,-81.96362203878138,-81.96364561054874,-81.9636851577972,-81.9636851577972,-81.9636851577972,-81.9636851577972,-81.9636851577972,-81.9636851577972,-81.9636851577972,-81.9636851577972,-81.96376830932219,-81.96376830932219,-81.96376830932219,-81.96378582844504,-81.96378582844504,-82.01455439286192,-82.01455439286192,-82.01455439286192,-82.01455439286192,-82.01455439286192,-82.01491296308112,-82.01489544395828,-82.01489544395828,-82.01489544395828,-82.01489544395828,-82.01489544395828,-82.01489544395828,-82.01489544395828,-82.01489544395828,-273.3967313093084,-471.2756238852799,-573.5208253019711,-571.3203980582556,-571.3203980582556,-571.3203980582556,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114063912085,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-573.7796095093815,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4114239103313,-570.4120314076855,-573.6926279954209,-573.6926279954209,-573.6926279954209,-573.6926279954209,-573.6926279954209,-573.6926279954209,-573.6926279954209,-573.6926279954209,-573.6926279954209,-573.6926279954209,-569.687259173589,-578.7291848271727,-578.7291848271727,-578.7291848271727,-578.7291848271727,-578.7291848271727,-578.7291848271727,-578.7291848271727	0.9931903919404012	-81.96362203878138	6	true	395
34	24	24	100	80800	403128	3225024	0	0	-573.7115477197112	-89.61399252386613	23.947993681345316	18.7583850436978	-189.61397649214513,-189.61397649214513,-189.61397649214513,-89.61399252386613,-89.61399252386613,-89.61399252386613,-89.61410041989274,-89.61410041989274,-89.61410041989274,-89.61426288241634,-89.6142877638087,-89.6142877638087,-89.6142877638087,-89.6142877638087,-89.6142877638087,-89.6142877638087,-89.6142877638087,-89.6142877638087,-89.6142877638087,-89.6142877638087,-89.61484037212989,-89.61484037212989,-89.61484037212989,-89.61484037212989,-89.61484037212989,-89.61484037212989,-89.61484037212989,-89.61484037212989,-89.61484037212989,-89.61484037212989,-275.7930491535476,-568.5852816362004,-568.5852816362004,-568.5852816362004,-568.5852816362004,-568.5852816362004,-566.6810039079758,-566.7715479700471,-566.7715479700471,-566.7715479700471,-566.7715479700471,-566.7715479700471,-566.7715479700471,-566.7715479700471,-566.7715479700471,-566.7715479700471,-566.7715479700471,-566.7715479700471,-570.1408472322358,-570.1408472322358,-570.1408472322358,-570.1408472322358,-570.1408472322358,-570.1408472322358,-570.1408472322358,-570.1409262542712,-570.1409262542712,-570.1409262542712,-570.1409262542712,-570.1409262542712,-570.1409262542712,-570.1409262542712,-570.1409262542712,-570.4352084993429,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-572.7346686467198,-569.3653693845308,-569.3653693845308,-569.3653693845308,-569.3653693845308,-569.3653693845308,-569.3653693845308,-569.3653693845308,-569.2176915695968,-569.2176915695968,-569.2176915695968,-569.2176915695968,-569.2176915695968,-569.2176915695968,-569.2176915695968,-569.2176915695968,-569.2176915695968,-565.5435362325469,-565.5435362325469,-575.7244863002609,-575.7244863002609,-573.7115477197112	0.9928739737244211	-89.61399252386613	7	true	361
