# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: f71a8584-235a-4f87-91c3-01e861a38dd4
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	74600	732996	5863968	0	0	-633.8953266749822	-633.8953266749822	-0.17967886244059805	-0.17967886244059805	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-870.7713529122077,-870.7713529122077,-870.7713529122077,-870.7713529122077,-1170.7711263012145,-1170.7711263012145,-1170.7711263012145,-1170.7711263012145,-1170.7711263012145,-1170.7711263012145,-1170.7711263012145,-1169.4937350160558,-1170.7728290773073,-1179.4274675117576,-1193.8154834273303,-1205.6213742657676,-1205.6213742657676,-913.107599036977,-818.3499154408164,-633.8953266749822,-633.8953266749822,-633.8953266749822,-633.8953266749822,-633.8953266749822,-633.8953266749822	0.9960270797844731	-633.8953266749822	18	true	1456
26	15	15	100	77600	729828	5838624	0	0	-326.46163879232415	-326.46163879232415	-44.408844201848005	-44.408844201848005	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1172.4569160727924,-1172.4570086301196,-1172.4570086301196,-1172.4570086301196,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-1172.457272213106,-872.4577199670514,-872.4578931992717,-872.4578931992717,-872.4578931992717,-872.4578931992717,-873.3661985643663,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2685567121035,-878.2688746359682,-878.2688746359682,-878.2688746359682,-878.2688746359682,-878.2688746359682,-878.2688746359682,-878.2688746359682,-497.28804727947784,-511.0776304422658,-511.0776304422658,-511.0776304422658,-511.0776304422658,-418.60821877735805,-326.46163879232415,-326.46163879232415,-326.46163879232415,-326.46163879232415,-326.46163879232415,-326.46163879232415,-326.46163879232415,-326.46163879232415	0.9960270797844731	-326.46163879232415	18	true	997
27	16	16	100	81200	745668	5965344	0	0	-324.2568998618582	-324.2568998618582	5.680148282211735	5.680148282211735	-Infinity,-Infinity,-Infinity,-Infinity,-1172.4204413451084,-1172.4204413451084,-1172.4204413451084,-1172.4204413451084,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4206659901442,-1172.4207221912332,-1172.4207221912332,-1172.4207221912332,-1172.4207221912332,-1172.4207221912332,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-872.420955734781,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-877.8516669153314,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-875.8317427592987,-776.5747413130545,-490.6125908719075,-494.9786996292132,-508.871618361688,-508.871618361688,-508.871618361688,-324.2568998618582,-324.2568998618582,-324.2568998618582,-324.2568998618582,-324.2568998618582,-324.2568998618582,-324.2568998618582,-324.2568998618582,-324.2568998618582	0.9955956967707507	-324.2568998618582	18	true	958
28	16	16	100	69200	727452	5819616	0	0	-585.6464833522784	-177.79814599582585	56.710510205041	57.73949002020987	-Infinity,-Infinity,-Infinity,-477.79782824180126,-477.79782824180126,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-477.79797505649447,-177.79814599582585,-177.79814599582585,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-177.79824737149107,-580.2619998361329,-582.6058379501447,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-585.3841527904599,-575.7731622631094,-575.7731622631094,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-573.8600209775825,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784,-585.6464833522784	0.9954268136656409	-177.79814599582585	13	true	702
29	18	18	100	80200	752004	6016032	0	0	-288.645663570239	29.355006338319072	68.15358924731598	67.36381945765987	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,27.520954875136376,29.355006338319072,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,24.02874305089972,22.708134038294943,22.708134038294943,20.40322509777787,16.979753959404064,16.979753959404064,16.979753959404064,16.979753959404064,16.979753959404064,-283.02017589362606,-283.02017589362606,-283.02017589362606,-283.02017589362606,-283.02017589362606,-274.41159520416466,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-272.9731588414895,-273.94012374381475,-282.54594954385357,-282.54594954385357,-282.54594954385357,-288.645663570239,-288.645663570239,-288.645663570239	0.9952702129681755	29.355006338319072	13	true	854
30	18	18	100	73200	729828	5838624	0	0	27.016330240205328	29.738908298185017	63.569362394503344	64.56002533902348	15.103978931430646,15.103978931430646,15.103978931430646,15.103978931430646,15.103978931430646,15.103978931430646,15.103912706857002,8.470388022722888,8.470388022722888,8.470388022722888,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.470240622036942,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469925687273532,8.469770838853366,8.469770838853366,8.469770838853366,8.469770838853366,8.469770838853366,8.469770838853366,8.469770838853366,8.469770838853366,8.469770838853366,8.469770838853366,8.469770838853366,3.994590482787979,-9.886620127767896,-4.298161239595396,-4.298161239595396,-4.298161239595396,-4.298161239595396,-4.298161239595396,-4.298161239595396,-4.298161239595396,-0.1774887387196742,-0.1774887387196742,3.031097641302482,3.031097641302482,5.376456008851733,5.376456008851733,5.376456008851733,5.376456008851733,5.376456008851733,5.376456008851733,5.376456008851733,5.376456008851733,5.376456008851733,5.376456008851733,5.376456008851733,8.483529196044673,8.483529196044673,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,9.81356409940919,12.419308634059712,20.101712553644163,29.738908298185017,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328,27.016330240205328	0.995024126157873	29.738908298185017	13	true	760
31	18	18	100	67800	682704	5461632	0	0	38.43634982614098	38.43634982614098	62.875311206165065	62.875311206165065	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.040081916960915,-11.040081916960915,-7.058761436826831,-10.42422673030071,-10.42422673030071,-10.42422673030071,-10.42422673030071,-10.42422673030071,-10.42422673030071,-10.42422673030071,-10.424320108122593,-10.424320108122593,-10.424320108122593,-10.424320108122593,-10.424320108122593,-10.424320108122593,-10.424320108122593,-10.424320108122593,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,-10.424518398011976,9.98547093050387,12.407652835832296,12.407652835832296,32.22872896721556,32.22872896721556,32.22872896721556,32.22872896721556,32.22872896721556,32.22872896721556,32.22872896721556,32.22872896721556,32.22872896721556,32.494803879303845,32.75095956652882,32.75095956652882,32.75095956652882,32.75095956652882,32.75095956652882,32.75095956652882,30.896794218443844,30.896794218443844,30.896794218443844,30.896794218443844,30.896794218443844,30.896794218443844,30.310031406564406,29.015964789202208,29.015964789202208,29.015964789202208,30.36775600869752,31.038301466627814,31.69969075746924,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,29.372936583421847,34.670179279585135,34.670179279585135,35.7029970645228,35.7029970645228,35.7029970645228,35.7029970645228,35.72638368719152,38.43634982614098,38.43634982614098	0.9947478816502295	38.43634982614098	8	true	820
32	20	20	100	65600	653004	5224032	0	0	21.2858056919574	25.14835702371596	67.38374854345327	63.76100030944389	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,24.397818576922795,24.397818576922795,24.397818576922795,25.14835702371596,25.14835702371596,25.14835702371596,21.74742045238804,21.74742045238804,21.74742045238804,20.357972942909505,18.677290455866817,13.181227044493209,3.7646779028659836,3.7646779028659836,3.7646779028659836,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,3.7645844017338135,4.52283523966716,4.52283523966716,4.52283523966716,4.52283523966716,4.52283523966716,4.52283523966716,4.52283523966716,4.52283523966716,4.52283523966716,4.52283523966716,14.05002215103147,14.05002215103147,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.453599367276603,21.2858056919574,21.2858056919574,21.2858056919574,21.2858056919574,21.2858056919574,21.2858056919574,19.237053176241837,19.237053176241837,19.237053176241837,19.237053176241837,19.237053176241837,19.237053176241837,19.237053176241837,19.237053176241837,19.237053176241837,21.2858056919574,21.2858056919574,21.2858056919574,21.2858056919574,21.2858056919574,21.2858056919574,21.2858056919574	0.9943563799065661	25.14835702371596	15	true	933
33	23	23	100	65600	683496	5467968	0	0	36.73059567764537	44.34389073520538	68.95826381339235	67.93823923835424	19.945175825850143,19.945175825850143,19.945175825850143,19.945175825850143,19.945140558083907,19.945050931570208,19.945050931570208,19.945050931570208,19.945050931570208,19.945050931570208,19.945050931570208,19.945050931570208,19.945050931570208,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,28.539261635492124,31.77111550474264,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,33.2966017577987,39.49524186477395,39.49524186477395,39.47774744833472,39.47774744833472,43.066103630320725,43.066103630320725,43.066103630320725,43.066103630320725,41.03034456718365,41.03034456718365,44.34389073520538,41.433556223027765,36.505974435099105,36.505974435099105,41.09489426100061,41.09489426100061,41.09489426100061,40.15160683465332,40.15160683465332,40.15160683465332,40.15160683465332,41.399704741847614,41.399704741847614,40.09155885587954,40.09155885587954,34.69483661450829,34.69483661450829,36.73059567764537,36.73059567764537,36.73059567764537,36.73059567764537,36.73059567764537,36.73059567764537,36.73059567764537,36.73059567764537,36.73059567764537	0.9931903919404012	44.34389073520538	12	true	744
34	23	23	100	64600	649044	5192352	0	0	52.32787514281273	52.32787514281273	71.28573767215394	71.28573767215394	-Infinity,-Infinity,40.36727340377891,40.36727340377891,40.36727340377891,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,40.367206546830346,47.57158227890986,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,47.51504608878943,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,49.22045205738263,51.739792813193006,52.24771624323603,52.24771624323603,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.746820211070016,50.27870084241205,50.27870084241205,50.27870084241205,50.27870084241205,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273,52.32787514281273	0.9931903919404012	52.32787514281273	10	true	626
