# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 10
# run: f7a1ecee-a8cc-4dc4-b6f5-cd88539116fe
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	24	12663	41328	330624	0	0	-144.82589643887457	-144.82589643887457	-144.82589643887457	-144.82589643887457	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-145.70452853270658,-144.82589643887457,-144.82589643887457	0.9960270797844731	-144.82589643887457	0	true	891
26	15	15	1	482	1722	13776	0	0	-137.0453981933961	-137.0453981933961	-137.0453981933961	-137.0453981933961	-137.0453981933961	0.9960270797844731	-137.0453981933961	0	true	92
27	16	16	13	6177	22386	179088	0	0	-131.54328036905196	-131.54328036905196	-131.54328036905196	-131.54328036905196	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-131.54328036905196,-131.54328036905196	0.9958381646573722	-131.54328036905196	0	true	363
28	16	16	5	2362	8610	68880	0	0	-83.12712494912984	-83.12712494912984	-83.12712494912984	-83.12712494912984	-Infinity,-Infinity,-Infinity,-83.12712494912984,-83.12712494912984	0.9955956967707507	-83.12712494912984	0	true	253
29	17	17	13	6123	22386	179088	0	0	-81.7556728291205	-81.7556728291205	-81.7556728291205	-81.7556728291205	-132.7675333142132,-131.9690744012267,-131.9690744012267,-131.84757666584943,-131.84757666584943,-131.84757666584943,-131.84757666584943,-131.84757666584943,-131.84757666584943,-81.84757731718047,-81.84757731718047,-81.7556728291205,-81.7556728291205	0.9952876130456717	-81.7556728291205	0	true	306
30	18	18	12	5633	20664	165312	0	0	-130.03052680746882	-130.03052680746882	-130.03052680746882	-130.03052680746882	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-130.03052680746882,-130.03052680746882	0.9952702129681755	-130.03052680746882	0	true	320
31	18	18	10	4466	17220	137760	0	0	-84.81316576600759	-84.81316576600759	-84.81316576600759	-84.81316576600759	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-84.81316576600759,-84.81316576600759	0.9948854007501045	-84.81316576600759	0	true	260
32	18	18	3	1340	5166	41328	0	0	-36.14945925104505	-36.14945925104505	-36.14945925104505	-36.14945925104505	-186.14910790769636,-36.14945925104505,-36.14945925104505	0.9947478816502295	-36.14945925104505	0	true	103
33	20	20	15	6915	25830	206640	0	0	-32.91734509375209	-32.91734509375209	-32.91734509375209	-32.91734509375209	-34.631490969581066,-33.055078690965146,-33.055078690965146,-32.937499605426495,-32.937499605426495,-32.937499605426495,-32.937499605426495,-32.937499605426495,-32.937499605426495,-32.937499605426495,-32.937499605426495,-32.937499605426495,-32.937499605426495,-32.91734509375209,-32.91734509375209	0.9940017253858359	-32.91734509375209	0	true	363
34	22	22	6	2647	10332	82656	0	0	17.23896729712974	17.23896729712974	17.23896729712974	17.23896729712974	13.238000958603571,13.238000958603571,14.845337420208953,15.577100929218329,17.23896729712974,17.23896729712974	0.9933979500076767	17.23896729712974	0	true	159
