# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 24
# run: fcb1e076-df74-4bcb-9e07-613998f8d34d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	29	14105	49938	399504	0	0	-144.54110138789653	-144.54110138789653	-144.54110138789653	-144.54110138789653	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-150.43480476754218,-148.08859662645614,-146.3981896318597,-146.3981896318597,-146.3981896318597,-146.3981896318597,-146.3981896318597,-146.3981896318597,-145.47292488990206,-145.47292488990206,-145.47292488990206,-145.47292488990206,-145.47292488990206,-145.47292488990206,-145.47292488990206,-147.60967088921137,-144.54110138789653,-144.54110138789653	0.9960270797844731	-144.54110138789653	0	true	948
26	15	15	1	461	1722	13776	0	0	-136.83766580727334	-136.83766580727334	-136.83766580727334	-136.83766580727334	-136.83766580727334	0.9960270797844731	-136.83766580727334	0	true	271
27	15	15	12	5424	20664	165312	0	0	-134.1375890701487	-134.1375890701487	-134.1375890701487	-134.1375890701487	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-134.1375890701487,-134.1375890701487	0.9960270797844731	-134.1375890701487	0	true	278
28	16	16	3	1377	5166	41328	0	0	-82.51002542129602	-82.51002542129602	-82.51002542129602	-82.51002542129602	-82.62477906405115,-82.51002542129602,-82.51002542129602	0.995805594344244	-82.51002542129602	0	true	106
29	16	16	21	9479	36162	289296	0	0	-82.61350227218418	-82.61350227218418	-82.61350227218418	-82.61350227218418	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-135.8722286801822,-135.8722286801822,-132.85765328777975,-82.85765366702998,-82.76359779210904,-82.76359779210904,-82.76359779210904,-82.76359779210904,-82.76359779210904,-82.76359779210904,-82.76359779210904,-82.76359779210904,-82.61350227218418,-82.61350227218418	0.9954268136656409	-82.61350227218418	0	true	456
30	18	18	21	9344	36162	289296	0	0	-27.372789381122537	-27.372789381122537	-27.372789381122537	-27.372789381122537	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.020870450570918,-30.020870450570918,-30.020870450570918,-29.233484030688977,-29.233484030688977,-29.233484030688977,-29.233484030688977,-27.372789381122537,-27.372789381122537	0.9952702129681755	-27.372789381122537	0	true	434
31	18	18	5	2080	8610	68880	0	0	-30.130713141398658	-30.130713141398658	-30.130713141398658	-30.130713141398658	-Infinity,-Infinity,-Infinity,-30.130713141398658,-30.130713141398658	0.9949686359947655	-30.130713141398658	0	true	96
32	18	18	2	829	3444	27552	0	0	-31.437245830892095	-31.437245830892095	-31.437245830892095	-31.437245830892095	-31.437245830892095,-31.437245830892095	0.9948311168948906	-31.437245830892095	0	true	57
33	19	19	13	5512	22386	179088	0	0	-31.64697729155806	-31.64697729155806	-31.64697729155806	-31.64697729155806	-32.8902964753198,-32.71018365051505,-32.912143024513725,-32.912143024513725,-32.912143024513725,-32.912143024513725,-32.912143024513725,-32.912143024513725,-32.912143024513725,-32.912143024513725,-32.912143024513725,-31.64697729155806,-31.64697729155806	0.9941695118474059	-31.64697729155806	0	true	195
34	21	21	12	4772	20664	165312	0	0	68.12959671804776	68.12959671804776	68.12959671804776	68.12959671804776	-35.68968532158997,-32.910535935015645,-31.870653407873835,18.129346174700103,18.129346174700103,18.129346174700103,18.129346174700103,18.129346174700103,18.129346174700103,18.129346174700103,68.12959671804776,68.12959671804776	0.993575679370673	68.12959671804776	0	true	168
