# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 27
# run: fd69c5dd-19be-4e5a-ba20-ad59684df194
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	57	29273	98154	785232	0	0	-144.4904696117039	-144.4904696117039	-144.4904696117039	-144.4904696117039	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-148.4202597128967,-148.4202597128967,-148.4202597128967,-148.4202597128967,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-148.41962617121146,-145.75171341599722,-145.75171341599722,-149.88001355269176,-149.88001355269176,-147.76205296196147,-147.76205296196147,-147.76205296196147,-146.78270458086712,-146.74641739267435,-144.4904696117039,-144.4904696117039	0.9960270797844731	-144.4904696117039	2	true	1418
26	16	16	10	5195	17220	137760	0	0	-82.82289838000496	-82.82289838000496	-82.82289838000496	-82.82289838000496	-Infinity,-Infinity,-Infinity,-Infinity,-84.87091630606518,-84.87091630606518,-84.87091630606518,-84.57583312167837,-82.82289838000496,-82.82289838000496	0.9958381646573722	-82.82289838000496	0	true	257
27	16	16	11	5495	18942	151536	0	0	-85.2753850708304	-85.2753850708304	-85.2753850708304	-85.2753850708304	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-85.2753850708304,-85.2753850708304	0.9954268136656409	-85.2753850708304	0	true	270
28	18	18	15	7819	25830	206640	0	0	-79.0586816387256	-79.0586816387256	-79.0586816387256	-79.0586816387256	-Infinity,-Infinity,-Infinity,-82.03712773665389,-81.23927977309768,-80.27539092955769,-80.27539092955769,-80.27539092955769,-80.27539092955769,-80.27539092955769,-80.27539092955769,-80.27539092955769,-80.27539092955769,-79.0586816387256,-79.0586816387256	0.9952702129681755	-79.0586816387256	0	true	355
29	18	18	2	1039	3444	27552	0	0	-76.59080728749569	-76.59080728749569	-76.59080728749569	-76.59080728749569	-76.59080728749569,-76.59080728749569	0.9952147228050682	-76.59080728749569	0	true	101
30	18	18	39	20085	67158	537264	0	0	-84.6282119380833	-84.6282119380833	-84.6282119380833	-84.6282119380833	-134.88489960092366,-134.88489960092366,-134.88489960092366,-134.88489960092366,-134.73753671689792,-134.73753671689792,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.73755450875753,-84.6282119380833,-84.6282119380833	0.9947478816502295	-84.6282119380833	0	true	783
31	19	19	13	6251	22386	179088	0	0	-83.80075579067548	-83.80075579067548	-83.80075579067548	-83.80075579067548	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-83.80075579067548,-83.80075579067548	0.9941695118474059	-83.80075579067548	0	true	298
32	22	22	15	7425	25830	206640	0	0	-83.51983999627765	-83.51983999627765	-83.51983999627765	-83.51983999627765	-86.05213014094994,-84.35338714822272,-84.35338714822272,-84.35338714822272,-87.89886847415004,-87.89886847415004,-87.89886847415004,-87.89886847415004,-84.77014935077909,-84.77014935077909,-84.77014935077909,-84.77014935077909,-84.77014935077909,-83.51983999627765,-83.51983999627765	0.9933681213033975	-83.51983999627765	0	true	565
33	23	23	19	9372	32718	261744	0	0	19.23083722962193	19.23083722962193	19.23083722962193	19.23083722962193	14.666941480981063,14.666941480981063,16.287222104660025,16.287222104660025,16.287222104660025,18.759068853316943,18.759068853316943,18.759068853316943,18.759068853316943,18.759068853316943,18.759068853316943,18.759068853316943,18.759068853316943,18.759068853316943,18.759068853316943,19.230473274157976,19.230473274157976,19.23083722962193,19.23083722962193	0.9930914746931229	19.23083722962193	0	true	416
34	25	25	26	12992	44772	358176	0	0	21.128307533599628	21.128307533599628	21.128307533599628	21.128307533599628	-Infinity,-Infinity,-Infinity,-Infinity,20.176554605522476,19.03502787641329,19.03502787641329,19.81222998694004,19.81222998694004,19.81222998694004,18.676840307054892,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,20.14708447731454,21.128307533599628,21.128307533599628	0.9923616218626856	21.128307533599628	0	true	647
