# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 6
# run: fdff7e50-bef8-49ab-bb06-43c2b72b2020
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	90600	1144836	9158688	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9959945094713449	-Infinity	30	false	1645
26	16	16	100	83644	1167408	9339264	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	30	false	1192
27	17	17	100	84953	1169388	9355104	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954564961507815	-Infinity	30	false	1162
28	18	18	100	85894	1139688	9117504	0	0	-4.993206523413633	0.3726050412665387	82.72278456528444	83.64314803692446	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.6600603665446556,-3.6600603665446556,0.3726050412665387,0.37032833090583495,0.37032833090583495,-3.664964257998534,-3.664964257998534,-3.664964257998534,-3.664964257998534,-3.664964257998534,-3.664964257998534,-3.664964257998534,-14.486704710819751,-21.507171721943934,-21.507171721943934,-21.507171721943934,-21.507171721943934,-18.228158798561665,-18.228158798561665,-18.227373909147133,-18.227373909147133,-11.207691787437483,-3.533139283013469,-4.993206523413633	0.9952702129681755	0.3726050412665387	23	false	1362
29	18	18	100	85893	1044648	8357184	0	0	33.20692895235646	33.20692895235646	74.30866830061504	74.30866830061504	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-47.287507315833665,-47.287507315833665,-47.287507315833665,-47.287507315833665,-47.287507315833665,-45.632245733485455,-47.2758252656044,-54.25428183909666,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-62.140943135441184,-56.031035468843754,-45.30936927995825,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-44.930742563993654,-10.737867506830282,17.527373376816584,17.527373376816584,17.527373376816584,17.527373376816584,33.20692895235646,33.20692895235646,33.20692895235646,33.20692895235646	0.9947478816502295	33.20692895235646	21	false	1001
30	18	18	100	86049	971784	7774272	0	0	12.053048501512762	40.65686312878643	77.89138405581063	77.7551954653823	-Infinity,-Infinity,-Infinity,-Infinity,-13.635033086391411,-13.635033086391411,-13.635033086391411,-13.635033086391411,-13.635033086391411,-13.635033086391411,-13.635033086391411,-13.635033086391411,-13.635033086391411,-16.229947676880606,-16.229947676880606,-16.229947676880606,-16.229947676880606,-16.229947676880606,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-16.230001671229154,-19.151755444455034,-26.856056727171044,-26.856056727171044,-31.718920336243407,-31.718920336243407,-31.718920336243407,-31.718920336243407,-31.718920336243407,-47.47117090744907,-47.47117090744907,-63.67193546737809,-59.00057413656234,-59.00057413656234,-59.00057413656234,-59.00057413656234,-59.00057413656234,-59.00057413656234,-59.00057413656234,-59.00057413656234,-59.00057413656234,-69.13208785052105,-79.47970662728841,-79.47970662728841,-79.47970662728841,-79.47970662728841,-79.47970662728841,-79.47970662728841,-79.47970662728841,-69.13208785052105,-69.13208785052105,-59.00057413656234,-59.00057413656234,-59.00057413656234,-59.00057413656234,-59.00057413656234,-50.643077220786104,-50.68099383968455,-50.68099383968455,-50.68099383968455,-50.68099383968455,-50.68099383968455,-50.68099383968455,-50.68099383968455,-50.68099383968455,-50.68099383968455,-50.68099383968455,-50.68099383968455,-25.19639774079211,19.16332690338266,19.16332690338266,23.523395528063155,25.2722817578643,40.65686312878643,38.319208807285214,38.319208807285214,38.319208807285214,38.319208807285214,38.319208807285214,38.319208807285214,35.573566716491484,35.573566716491484,12.053048501512762,12.053048501512762,12.053048501512762	0.9947478816502295	40.65686312878643	21	false	1042
31	22	22	100	90588	980496	7843968	0	0	34.816286276174836	44.58285250150964	89.78141209510966	89.23345207986313	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.35809563452912,-19.35809563452912,-19.35809563452912,-19.35809563452912,-19.35809563452912,-19.35809563452912,-19.35809563452912,-19.35809563452912,-19.35809563452912,-32.92275311998039,-38.8071409784651,-38.8071409784651,-38.8071409784651,-38.8071409784651,-38.8071409784651,-38.8071409784651,-38.8071409784651,-38.8071409784651,-38.8071409784651,-38.8071409784651,-76.60464464387431,-76.60464464387431,-76.60464464387431,-76.60464464387431,-76.60464464387431,-69.78977727021109,-63.67185596206097,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-61.378089934579066,-71.72661597675732,-71.72661597675732,-71.72661597675732,-71.72661597675732,-71.72661597675732,-71.72661597675732,-71.72661597675732,-71.72661597675732,-61.378089934579066,-61.378089934579066,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-53.2466468677823,-37.83318060722043,-37.83318060722043,-37.83318060722043,-37.83318060722043,-37.83318060722043,-37.83318060722043,-37.83318060722043,5.804036912208705,26.9830809788265,26.9830809788265,26.9830809788265,42.67395477527139,42.67395477527139,42.67395477527139,42.67395477527139,42.67395477527139,44.58285250150964,34.816286276174836,34.816286276174836,34.816286276174836,34.816286276174836,34.816286276174836,34.816286276174836	0.993745695674107	44.58285250150964	20	true	992
32	23	23	100	85061	923868	7390944	0	0	44.72118199906453	44.72118199906453	90.10986533319921	90.10986533319921	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,28.73851427962083,28.73851427962083,33.795614990210076,36.35443918942,36.35443918942,36.35443918942,36.35443918942,37.021603722892294,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,36.16962014746676,40.42139750317742,43.91275024654499,43.91275024654499,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453,44.72118199906453	0.9931903919404012	44.72118199906453	22	true	948
33	24	24	100	82336	868032	6944256	0	0	59.87002567992541	60.97975952482221	93.75370898885318	93.71067213570909	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,48.347381135321925,53.542503615161735,53.542503615161735,58.30587016972151,60.57615090204333,60.57615090204333,60.97975952482221,60.97975952482221,59.87002567992541,59.87002567992541,59.87002567992541,59.87002567992541,59.87002567992541,59.87002567992541,59.87002567992541,59.87002567992541,59.87002567992541	0.9929675539731397	60.97975952482221	20	true	1049
34	26	25	100	88600	885456	7083648	0	0	70.40888916797249	70.40888916797249	96.90274721550048	96.90274721550048	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,54.53203529504514,54.53203529504514,50.761128951269846,50.761128951269846,50.761128951269846,65.01858999970493,65.01858999970493,65.01858999970493,63.61781651515186,63.61781651515186,63.61781651515186,63.61781651515186,61.03227286131717,61.03227286131717,61.03227286131717,61.03227286131717,66.86437918167331,66.86437918167331,69.62582716402827,69.62582716402827,69.95191207456112,70.0927686807985,70.0927686807985,70.0927686807985,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249,70.40888916797249	0.9923478407088703	70.40888916797249	18	true	980
