# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: ff1ade3e-74b2-4fc4-9080-d9fb980d6958
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	73400	906840	7254720	0	0	-Infinity	-Infinity	-107.4033141636302	-107.4033141636302	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9968457241868389	-Infinity	23	true	3677
26	15	15	100	74200	928818	7430544	0	0	-448.03963917534753	-390.98675011927776	15.353208746540872	17.705182176476296	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-790.986383121227,-390.98675011927776,-390.98675011927776,-390.98675011927776,-390.98675011927776,-390.98675011927776,-390.98675011927776,-390.98675011927776,-390.98675011927776,-390.98675011927776,-390.98675011927776,-390.98675011927776,-407.94403842106334,-423.8252899365224,-431.52625259115547,-431.52625259115547,-431.52625259115547,-431.52625259115547,-448.03963917534753,-448.03963917534753,-448.03963917534753,-448.03963917534753,-448.03963917534753,-448.03963917534753,-448.03963917534753,-448.03963917534753,-448.03963917534753	0.9963744964578416	-390.98675011927776	17	true	2988
27	15	15	100	72200	912186	7297488	0	0	-Infinity	-Infinity	-96.60168710095138	-96.60168710095138	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	23	true	2028
28	15	15	100	72400	878526	7028208	0	0	15.038954323683384	20.953116612933478	71.90169150821133	71.9641727291153	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,7.1242991535678115,7.1242991535678115,20.953116612933478,20.4791508281063,14.246029245770615,10.796624191084462,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,6.744453364134571,11.321862652824592,15.285684916358747,15.285684916358747,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,15.038954323683384,13.550165061174397,4.35093002136675,-1.9271861443447165,-1.9271861443447165,-1.9271861443447165,-1.9271861443447165,-1.9271861443447165,-1.9271861443447165,4.35093002136675,13.550165061174397,15.038954323683384,15.038954323683384,15.038954323683384	0.9960270797844731	20.953116612933478	17	true	1864
29	15	15	100	70800	799722	6397776	0	0	28.9831659934839	28.9831659934839	72.60193596996706	72.60193596996706	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,16.379540720814582,15.241956051824163,1.2366485389480388,1.2366485389480388,1.2366485389480388,1.2366485389480388,1.2366485389480388,1.2366485389480388,1.2366485389480388,1.2366485389480388,1.2366485389480388,1.2366485389480388,1.2366485389480388,4.397399859840881,5.83436024244201,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,4.998302208249733,10.716314230225144,10.716314230225144,16.027327311331128,16.027327311331128,16.027327311331128,16.027327311331128,16.027327311331128,18.899769889533864,18.899769889533864,18.899769889533864,18.899769889533864,18.899769889533864,18.899769889533864,20.031333505885534,20.031333505885534,20.031333505885534,20.031333505885534,20.031333505885534,28.9831659934839	0.9959945094713449	28.9831659934839	17	true	1960
30	16	16	100	71804	807642	6461136	0	0	33.678466582594844	35.735171897728016	76.19436127128603	74.76230491867572	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,35.7351405124187,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.735171897728016,35.73486332420581,35.73486332420581,35.73486332420581,35.73486332420581,35.73486332420581,35.73486332420581,35.73486332420581,35.73486332420581,35.73486332420581,35.73486332420581,34.76383264404941,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,35.07604084802255,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,25.584443174577792,28.590546703565472,28.590546703565472,30.249964547561028,24.186868909150057,24.186868909150057,24.186868909150057,24.186868909150057,19.947969725497302,19.947969725497302,19.947969725497302,19.947969725497302,19.947969725497302,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844,33.678466582594844	0.9954268136656409	35.735171897728016	17	true	2221
31	17	17	100	72590	752598	6020784	0	0	17.682690475182802	22.278130738886496	78.14881260342756	75.69905074764428	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,16.416988193313472,16.416988193313472,16.416988193313472,16.416988193313472,16.416988193313472,16.416988193313472,16.416988193313472,16.416988193313472,16.416988193313472,16.416988193313472,-3.784797182821965,-12.88582059656586,-27.985231924673382,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-35.520632715093896,-4.737876273078665,-4.737876273078665,-4.737876273078665,-0.5628328393799276,-28.07431448455484,-19.729769581638973,-19.729769581638973,-19.729769581638973,-36.7791616579094,-36.7791616579094,-36.7791616579094,-11.131495309683535,-14.270229601264457,-26.445446847246263,-24.407259250578687,-32.73065679022476,-42.71488871062492,-42.71488871062492,-42.71488871062492,-42.71488871062492,-42.71488871062492,-42.71488871062492,-42.71488871062492,-42.71488871062492,-42.71488871062492,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-65.42278326190683,-54.600263612642706,-54.600263612642706,-54.600263612642706,-43.97983093769167,-43.97983093769167,-43.97983093769167,-33.57055647578099,-33.57055647578099,-25.37229634469712,-25.37229634469712,-8.945010680635193,9.143518459689787,9.143518459689787,14.611634249704139,14.611634249704139,14.611634249704139,14.611634249704139,14.611634249704139,22.278130738886496,22.278130738886496,19.983167798562334,17.682690475182802,17.682690475182802	0.9952876130456717	22.278130738886496	19	true	2113
32	18	18	100	73835	752598	6020784	0	0	20.871414306272797	20.871414306272797	72.55893540236848	72.55893540236848	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,19.93724052841314,19.93724052841314,19.93724052841314,19.93724052841314,17.084912132274873,-24.179634341176193,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-31.645149723406472,-39.801393964155324,-51.78143927597918,-84.53618567764373,-84.53618567764373,-84.53618567764373,-84.53618567764373,-64.2335288316628,-64.2335288316628,-64.2335288316628,-64.2335288316628,-64.2335288316628,-71.63541909054155,-80.5465706331935,-91.63572882500507,-91.63572882500507,-91.63572882500507,-91.63572882500507,-91.63572882500507,-91.63572882500507,-91.63572882500507,-91.63572882500507,-91.63572882500507,-71.63541909054155,-71.63541909054155,-53.55554244623947,-34.868467931508384,-28.14659724741326,-28.14659724741326,-28.14659724741326,-28.14659724741326,-28.14659724741326,-28.14659724741326,-28.14659724741326,-28.14659724741326,-28.14659724741326,-28.14659724741326,-28.14659724741326,-22.903378749848905,-18.482566467036555,-18.482566467036555,-18.482566467036555,-18.482566467036555,-18.482566467036555,-18.482566467036555,-18.482566467036555,-18.482566467036555,7.472837206608396,10.402134628871465,10.402134628871465,10.402134628871465,10.402134628871465,10.402134628871465,18.558883703651745,18.558883703651745,12.40705228799851,20.871414306272797,20.871414306272797,20.871414306272797,20.871414306272797,20.871414306272797,20.871414306272797,20.871414306272797	0.9949686359947655	20.871414306272797	18	true	1822
33	18	18	100	73751	721908	5775264	0	0	23.601633452776113	46.4770472268344	74.20591556934339	76.95517779141389	-Infinity,-Infinity,-Infinity,-Infinity,44.168110392377514,44.168110392377514,44.168110392377514,44.168110392377514,44.168110392377514,44.168110392377514,7.742039580340595,7.742039580340595,7.742039580340595,7.742039580340595,7.742039580340595,7.742039580340595,7.742039580340595,7.742039580340595,7.742039580340595,7.742039580340595,7.742039580340595,-1.0850827619175547,-6.972350867582257,-6.972350867582257,-6.972350867582257,-22.054474559145202,-43.26669969172879,-43.26669969172879,-43.26669969172879,-43.26669969172879,-43.26669969172879,-43.26669969172879,-43.26669969172879,-43.26669969172879,-43.26669969172879,-43.26669969172879,-43.26669969172879,-67.2455278872155,-67.2455278872155,-28.530093081987737,-37.36323133448788,-37.36323133448788,-37.36323133448788,-37.36323133448788,-37.36323133448788,-45.12365871997238,-55.09913177149596,-55.09913177149596,-55.09913177149596,-62.1897745696002,-62.1897745696002,-70.79316456208655,-81.57937070091081,-81.57937070091081,-81.57937070091081,-70.79316456208655,-62.1897745696002,-62.1897745696002,-62.1897745696002,-44.6770124279672,-29.810925507302763,-29.810925507302763,-29.810925507302763,-29.810925507302763,-29.810925507302763,-24.462394888966436,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,-19.93441741782926,30.561416891089596,30.561416891089596,30.561416891089596,30.561416891089596,46.4770472268344,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,15.269849201819184,23.601633452776113,23.601633452776113,23.601633452776113	0.9948854007501045	46.4770472268344	16	true	1055
34	18	17	100	72616	662706	5301648	0	0	15.921807445451684	32.936404065509734	65.34857058891617	68.99128626113851	-Infinity,-Infinity,-Infinity,-Infinity,11.831526216867216,16.189994070987282,16.126915212233314,16.126915212233314,16.126915212233314,16.126915212233314,7.046825788145393,7.046825788145393,7.046825788145393,7.046825788145393,7.046825788145393,7.046825788145393,7.046825788145393,7.046825788145393,7.046825788145393,7.046825788145393,7.046825788145393,3.050994213920754,3.050994213920754,3.050994213920754,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-27.439845630545616,-57.77614510496758,-57.77614510496758,-57.77614510496758,-23.872783231243254,-56.275049720642784,-56.275049720642784,-56.275049720642784,-69.81180282852684,-69.81180282852684,-89.61853164822756,-100.79303312830628,-100.79303312830628,-100.79303312830628,-100.79303312830628,-100.79303312830628,-100.79303312830628,-100.79303312830628,-100.79303312830628,-100.79303312830628,-100.79303312830628,-89.61853164822756,-69.81180282852684,-69.81180282852684,-62.360725835222254,-56.04684400132949,-50.52961058882829,-50.52961058882829,-50.52961058882829,-50.52961058882829,-50.52961058882829,-50.52961058882829,-31.260645288866026,-18.933511445090694,-18.933511445090694,-18.933511445090694,-18.933511445090694,-18.933511445090694,-18.933511445090694,-18.933511445090694,8.460642988136536,8.460642988136536,8.460642988136536,30.860173053493924,30.860173053493924,32.936404065509734,32.936404065509734,32.936404065509734,32.936404065509734,32.936404065509734,32.936404065509734,32.936404065509734,32.936404065509734,32.936404065509734,32.936404065509734,-1.6932243518423746,-1.6932243518423746,-1.6932243518423746,-1.6932243518423746,-1.6932243518423746,15.921807445451684	0.9945992864506038	32.936404065509734	18	true	1082
