# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: ff7ac006-df4f-4e54-b776-0f2242f04502
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67707	772200	6177600	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	19	false	1187
26	15	15	100	67656	762300	6098400	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	18	false	799
27	16	16	100	67772	745470	5963760	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9958381646573722	-Infinity	16	false	860
28	16	16	100	68076	715770	5726160	0	0	-Infinity	-Infinity	-2995.803068552745	-2995.803068552745	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	16	false	957
29	17	17	100	68223	698940	5591520	0	0	-Infinity	-Infinity	-2991.8919188680047	-2991.8919188680047	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-Infinity	16	false	706
30	18	18	100	68179	667260	5338080	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-Infinity	19	false	629
31	18	18	100	68271	632610	5060880	0	0	-748.9473396249556	-748.8375870371128	-721.6026259323006	-722.3034151719969	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-770.4891767529051,-770.4891767529051,-770.4891767529051,-770.4891767529051,-770.4891767529051,-770.4891767529051,-770.4891767529051,-756.5122417818469,-756.5122417818469,-748.8375870371128,-748.8375870371128,-748.8375870371128,-748.8375870371128,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556,-748.9473396249556	0.9948854007501045	-748.8375870371128	17	false	660
32	18	17	100	68152	594990	4759920	0	0	-758.9534887989297	-758.9534887989297	-727.7461798833887	-727.7461798833887	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-815.8013156572207,-819.4482303805235,-792.2870752893289,-792.2870752893289,-792.2870752893289,-792.2870752893289,-792.2870752893289,-782.5582056274293,-782.5582056274293,-782.5582056274293,-782.5582056274293,-782.5582056274293,-782.5582056274293,-782.5582056274293,-782.5582056274293,-782.5582056274293,-780.4336921843862,-780.0933876876653,-774.8167513981583,-774.8167513981583,-774.8167513981583,-774.8167513981583,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297,-758.9534887989297	0.9947847288731626	-758.9534887989297	17	false	609
33	20	19	100	68612	600930	4807440	0	0	-817.2005443673002	-789.5501294019261	-721.6130336671489	-721.6554728637149	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-819.5428395983016,-824.3235621253773,-824.3235621253773,-824.3235621253773,-824.3235621253773,-824.3235621253773,-824.3235621253773,-824.3235621253773,-824.3235621253773,-824.3235621253773,-824.3235621253773,-824.3235621253773,-821.3379136288015,-821.3379136288015,-821.3379136288015,-821.3379136288015,-818.9734191599416,-818.9734191599416,-818.9734191599416,-818.9734191599416,-818.9734191599416,-818.9734191599416,-818.9734191599416,-803.4227558499002,-803.4227558499002,-803.4227558499002,-803.4227558499002,-795.3990133649083,-797.5958399139031,-797.5958399139031,-797.5958399139031,-795.5194047037154,-795.3740096192698,-795.8227703599777,-793.6921425636705,-794.4584219095364,-789.5501294019261,-789.5501294019261,-790.5130413384736,-791.1742584205786,-797.1011694479968,-797.1011694479968,-797.1011694479968,-797.1011694479968,-799.1070062426533,-799.1070062426533,-799.1070062426533,-801.783999167781,-798.1090795903489,-798.1090795903489,-801.5099180946124,-805.7181183106459,-805.7181183106459,-805.7181183106459,-805.7181183106459,-810.9715879979369,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002,-817.2005443673002	0.9940385726087689	-789.5501294019261	24	false	630
34	22	21	100	68898	601920	4815360	0	0	-782.8684220674909	-771.4988041788371	-719.8589819444858	-718.7043652280578	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-776.9531239863751,-776.9531239863751,-776.9531239863751,-776.9531239863751,-776.9531239863751,-776.9531239863751,-776.9531239863751,-776.9531239863751,-776.9531239863751,-776.9531239863751,-776.9531239863751,-771.4988041788371,-771.4988041788371,-771.872519524835,-771.872519524835,-771.872519524835,-771.872519524835,-772.9924899434901,-774.8346391092055,-774.8346391092055,-780.7804860719597,-780.7804860719597,-790.2504363246317,-790.2504363246317,-790.2504363246317,-795.7869662092745,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-802.8395518522321,-799.039012606212,-787.3614195197412,-785.5768913199258,-785.5768913199258,-785.5768913199258,-785.5768913199258,-785.5768913199258,-785.5768913199258,-785.5768913199258,-785.5768913199258,-785.5768913199258,-785.5768913199258,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909,-782.8684220674909	0.9934347972306098	-771.4988041788371	24	true	641
