# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: ff7d2d9c-f8eb-461c-a780-838cc64eca7a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	29	7767	62640	501120	0	0	-2934.853515675183	-2934.853515675183	-2934.853515675183	-2934.853515675183	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2935.0251940555977,-2935.0251940555977,-2935.0251940555977,-2935.0251940555977,-2934.853515675183,-2934.853515675183	0.995805594344244	-2934.853515675183	6	false	719
26	16	16	7	1827	15120	120960	0	0	-2975.639390426606	-2975.639390426606	-2975.639390426606	-2975.639390426606	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2975.639390426606,-2975.639390426606	0.9955956967707507	-2975.639390426606	6	false	108
27	17	17	24	6099	51840	414720	0	0	-2968.821579732455	-2968.821579732455	-2968.821579732455	-2968.821579732455	-Infinity,-Infinity,-2971.136615314346,-2971.136615314346,-2971.136615314346,-2971.130550295411,-2971.130550295411,-2971.108880207332,-2971.108880207332,-2971.108880207332,-2971.108880207332,-2971.108880207332,-2971.108880207332,-2971.108880207332,-2971.108880207332,-2971.108880207332,-2969.2162563537054,-2969.0873039840935,-2969.0873039840935,-2969.0873039840935,-2969.0873039840935,-2969.0770419963787,-2968.821579732455,-2968.821579732455	0.9952876130456717	-2968.821579732455	5	false	124
28	18	18	6	1471	12960	103680	0	0	-2967.3531573633445	-2967.3531573633445	-2967.3531573633445	-2967.3531573633445	-Infinity,-Infinity,-Infinity,-Infinity,-2967.3531573633445,-2967.3531573633445	0.995024126157873	-2967.3531573633445	5	false	144
29	19	19	55	12357	118800	950400	0	0	-1724.5288005696564	-1724.5288005696564	-1724.5288005696564	-1724.5288005696564	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1942.3077148208106,-1937.6908844200755,-1935.4230617335495,-1834.230093857071,-1834.9178949446173,-1831.4935477468548,-1831.0503945437135,-1825.6494902835473,-1825.6494902835473,-1825.6494902835473,-1825.6494902835473,-1824.9065357880208,-1824.9065357880208,-1727.2828187756552,-1727.2828187756552,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.279323698671,-1727.099638039476,-1726.1311213416923,-1726.1311213416923,-1726.1311213416923,-1726.1311213416923,-1726.1311213416923,-1726.1311213416923,-1725.7833774097726,-1725.7833774097726,-1725.7833774097726,-1725.7359664267353,-1725.7359664267353,-1725.7359664267353,-1725.7359664267353,-1725.7359664267353,-1725.7359664267353,-1725.7359664267353,-1725.7359664267353,-1725.7359664267353,-1724.5288005696564,-1724.5288005696564	0.994524166368136	-1724.5288005696564	5	false	224
30	20	20	24	5155	51840	414720	0	0	-1217.7946997525962	-1217.7946997525962	-1217.7946997525962	-1217.7946997525962	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1217.841622206434,-1217.841622206434,-1217.794894054581,-1217.794894054581,-1217.794894054581,-1217.794894054581,-1217.7948161107108,-1217.794701692186,-1217.794701692186,-1217.7946997525962,-1217.7946997525962	0.9943563799065661	-1217.7946997525962	4	true	118
31	23	23	17	3475	36720	293760	0	0	-1211.8508230754214	-1211.8508230754214	-1211.8508230754214	-1211.8508230754214	-Infinity,-Infinity,-1223.9922589522416,-1217.8214672552535,-1217.8214672552535,-1217.8214672552535,-1217.8214672552535,-1217.8214672552535,-1216.6496168891385,-1213.719994433796,-1212.788379894869,-1212.788379894869,-1211.8713463001648,-1211.8713463001648,-1211.8713463001648,-1211.8508230754214,-1211.8508230754214	0.9931903919404012	-1211.8508230754214	1	true	96
32	23	23	6	1173	12960	103680	0	0	-1209.494350333949	-1209.494350333949	-1209.494350333949	-1209.494350333949	-Infinity,-Infinity,-Infinity,-Infinity,-1209.494350333949,-1209.494350333949	0.99312042608257	-1209.494350333949	1	true	85
33	27	27	37	6827	79920	639360	0	0	95.79398468510698	95.79398468510698	95.79398468510698	95.79398468510698	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-102.69522941221919,-102.69522941221919,-3.8470331185832602,-3.8470331185832602,95.00357050484129,95.00357050484129,95.00357050484129,95.00357050484129,95.00357050484129,95.00357050484129,95.00357050484129,95.00357050484129,95.00357050484129,95.00357050484129,95.04256143301296,95.04256143301296,95.04256143301296,95.04256143301296,95.04256143301296,95.04256143301296,95.04256143301296,95.79398468510698,95.79398468510698	0.9921864513346152	95.79398468510698	1	true	230
34	28	28	36	6409	77760	622080	0	0	97.37257644119187	97.37257644119187	97.37257644119187	97.37257644119187	45.295688965801354,45.295688965801354,45.295688965801354,45.295688965801354,45.295688965801354,47.264948938335365,47.264948938335365,47.264948938335365,47.264948938335365,47.264948938335365,47.264948938335365,47.264948938335365,97.26487036567904,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.26509713298186,97.3343912896555,97.3343912896555,97.3343912896555,97.3343912896555,97.3343912896555,97.37257644119187,97.37257644119187	0.9915307681622446	97.37257644119187	2	true	117
